instrument,datetime,open,high,low,close,volume
9958,2023-06-12,114.5076,115.4905,110.576,110.576,3956034
9958,2023-06-13,110.576,111.0675,106.6444,106.6444,3827938
9958,2023-06-14,106.6444,109.1017,106.153,109.1017,2853673
9958,2023-06-15,108.1188,111.0675,107.6273,111.0675,2125857
9958,2023-06-16,111.0675,114.0162,110.576,111.0675,2413309
9958,2023-06-19,110.576,113.0333,110.576,110.576,1283865
9958,2023-06-20,110.0846,111.5589,109.1017,110.576,1199413
9958,2023-06-21,110.0846,112.0504,109.1017,110.0846,1371461
9958,2023-06-26,108.6102,111.5589,108.6102,110.576,1340962
9958,2023-06-27,110.576,112.0504,109.5931,111.0675,1575242
9958,2023-06-28,112.5418,115.982,111.5589,115.982,7743725
9958,2023-06-29,118.9307,127.2853,118.9307,127.2853,15424495
9958,2023-06-30,125.3195,135.1485,123.8451,133.6741,28988178
9958,2023-07-03,136.1314,139.0801,133.6741,135.1485,14751438
9958,2023-07-04,134.1656,135.1485,129.7425,131.2169,10432594
9958,2023-07-05,131.7083,132.6912,127.7767,128.7596,8132262
9958,2023-07-06,130.7254,134.657,129.7425,134.1656,10574354
9958,2023-07-07,132.1998,146.9433,132.1998,141.5373,30748636
9958,2023-07-10,141.5373,145.9604,140.063,143.5031,17360750
9958,2023-07-11,144.486,144.486,137.6057,138.0972,16756689
9958,2023-07-12,139.0801,141.0459,137.1143,140.5544,9093478
9958,2023-07-13,143.9946,147.4347,139.5715,142.0288,19037874
9958,2023-07-14,143.9946,146.9433,140.5544,141.5373,11502535
