,instrument,datetime,open,high,low,close,volume
539,Y9999,2024-01-16,17523.78,17523.78,17337.58,17346.87,7003194000
540,Y9999,2024-01-17,17341.58,17361.05,17151.58,17161.79,8135054000
541,Y9999,2024-01-18,17169.1,17300.29,17169.1,17227.79,6362222000
542,Y9999,2024-01-19,17546.51,17682.97,17499.85,17681.52,7366926000
543,Y9999,2024-01-22,17770.78,17869.07,17765.13,17815.1,7440321000
544,Y9999,2024-01-23,17840.28,17893.73,17801.89,17874.59,6799686000
545,Y9999,2024-01-24,17883.62,17944.98,17856.34,17875.83,6085817000
546,Y9999,2024-01-25,17894.83,18014.26,17894.83,18002.62,6194925000
547,Y9999,2024-01-26,17985.44,18029.85,17943.65,17995.03,5484262000
548,Y9999,2024-01-29,18001.24,18119.63,17995.11,18119.63,5297437000
549,Y9999,2024-01-30,18083.45,18138.74,18034.63,18034.63,5885319000
550,Y9999,2024-01-31,17970.41,17996.33,17874.95,17889.56,5498408000
551,Y9999,2024-02-01,17871.27,17968.11,17832.95,17968.11,5865757000
552,Y9999,2024-02-02,18016.35,18059.93,17985.89,18059.93,5660501000
553,Y9999,2024-02-05,18047.4,18115.8,17992.17,18096.07,5578682000
554,Y9999,2024-02-15,18664.45,18725.47,18550.86,18644.57,8401984000
555,Y9999,2024-02-16,18639.66,18715.69,18585.14,18607.25,7844208000
556,Y9999,2024-02-19,18561.04,18663.74,18561.04,18635.8,7707547000
557,Y9999,2024-02-20,18610.21,18756.33,18610.21,18753.16,7064550000
